step_number,step_description
1,Load plant energy consumption dataset
2,Clean column names
3,Remove unnecessary index columns
4,Separate target variable Energy Consumption from input features
5,Split data into training and testing sets
6,Apply preprocessing using ColumnTransformer
7,Impute missing numeric values using median
8,Scale numeric features using StandardScaler
9,Impute missing categorical values using most frequent value
10,Encode categorical features using OneHotEncoder
11,Train MLPRegressor neural network
12,Generate predictions on test data
13,Evaluate regression model using MAE and R2 score
14,Save trained model using joblib
15,Save metrics report as JSON
