model_name,class,false_positive_rate,true_positive_rate,threshold
sensor_attack_ensemble,1,0.0,0.0,inf
sensor_attack_ensemble,1,0.0,0.01184,1.0
sensor_attack_ensemble,1,0.0,0.012,0.9999999999999968
sensor_attack_ensemble,1,0.0,0.01232,0.9999999999999964
sensor_attack_ensemble,1,0.0,0.0124,0.9999999999999961
sensor_attack_ensemble,1,0.0,0.01256,0.9999999999999956
sensor_attack_ensemble,1,0.0,0.01264,0.9999999999999954
sensor_attack_ensemble,1,0.0,0.0128,0.9999999999999952
sensor_attack_ensemble,1,0.0,0.01288,0.9999999999999948
sensor_attack_ensemble,1,0.0,0.0132,0.9999999999999947
sensor_attack_ensemble,1,0.0,0.01344,0.9999999999999938
sensor_attack_ensemble,1,0.0,0.0136,0.9999999999999926
sensor_attack_ensemble,1,0.0,0.01376,0.9999999999999923
sensor_attack_ensemble,1,0.0,0.01392,0.999999999999992
sensor_attack_ensemble,1,0.0,0.0152,0.9999999999999819
sensor_attack_ensemble,1,0.0,0.01544,0.999999999999981
sensor_attack_ensemble,1,0.0,0.0156,0.9999999999999792
sensor_attack_ensemble,1,0.0,0.01576,0.9999999999999787
sensor_attack_ensemble,1,0.0,0.01888,0.9999999999999405
sensor_attack_ensemble,1,0.0,0.0192,0.9999999999999402
sensor_attack_ensemble,1,0.0,0.02,0.9999999999999344
sensor_attack_ensemble,1,0.0,0.02016,0.9999999999999339
sensor_attack_ensemble,1,0.0,0.0212,0.9999999999999257
sensor_attack_ensemble,1,0.0,0.02136,0.9999999999999248
sensor_attack_ensemble,1,0.0,0.02272,0.9999999999999133
sensor_attack_ensemble,1,0.0,0.02296,0.9999999999999121
sensor_attack_ensemble,1,0.0,0.02312,0.9999999999999108
sensor_attack_ensemble,1,0.0,0.02328,0.9999999999999103
sensor_attack_ensemble,1,0.0,0.02448,0.9999999999998943
sensor_attack_ensemble,1,0.0,0.02472,0.9999999999998929
sensor_attack_ensemble,1,0.0,0.0296,0.9999999999996102
sensor_attack_ensemble,1,0.0,0.02976,0.9999999999996065
sensor_attack_ensemble,1,0.0,0.03752,0.9999999999991402
sensor_attack_ensemble,1,0.0,0.03768,0.9999999999991399
sensor_attack_ensemble,1,0.0,0.0412,0.9999999999990044
sensor_attack_ensemble,1,0.0,0.04136,0.9999999999989976
sensor_attack_ensemble,1,0.0,0.04184,0.9999999999989742
sensor_attack_ensemble,1,0.0,0.042,0.999999999998972
sensor_attack_ensemble,1,0.0,0.04464,0.9999999999988217
sensor_attack_ensemble,1,0.0,0.0448,0.9999999999988182
sensor_attack_ensemble,1,0.0,0.04512,0.999999999998809
sensor_attack_ensemble,1,0.0,0.04528,0.9999999999988022
sensor_attack_ensemble,1,0.0,0.05072,0.9999999999984501
sensor_attack_ensemble,1,0.0,0.05088,0.9999999999984484
sensor_attack_ensemble,1,0.0,0.0856,0.9999999998072239
sensor_attack_ensemble,1,0.0,0.08576,0.9999999998070769
sensor_attack_ensemble,1,0.0,0.20264,0.9999999955985057
sensor_attack_ensemble,1,0.0,0.2028,0.9999999955976732
