model_name,class,false_positive_rate,true_positive_rate,threshold
sensor_attack,1,0.0,0.0,inf
sensor_attack,1,0.0,0.91864,1.0
sensor_attack,1,0.0,0.944,0.995
sensor_attack,1,0.0,0.95672,0.99
sensor_attack,1,0.0,0.96472,0.985
sensor_attack,1,0.0,0.96904,0.98
sensor_attack,1,0.0,0.97456,0.975
sensor_attack,1,0.0,0.97824,0.97
sensor_attack,1,0.0,0.98128,0.965
sensor_attack,1,0.0,0.98336,0.96
sensor_attack,1,0.0,0.98432,0.955
sensor_attack,1,0.0,0.98584,0.95
sensor_attack,1,0.0,0.98712,0.945
sensor_attack,1,0.0,0.98856,0.94
sensor_attack,1,0.0,0.98992,0.935
sensor_attack,1,0.0,0.99088,0.93
sensor_attack,1,0.0,0.9916,0.925
sensor_attack,1,0.0,0.9924,0.92
sensor_attack,1,0.0,0.99288,0.915
sensor_attack,1,0.0,0.9936,0.91
sensor_attack,1,0.0,0.99408,0.905
sensor_attack,1,0.0,0.99448,0.9
sensor_attack,1,0.0,0.99504,0.895
sensor_attack,1,0.0,0.99512,0.89
sensor_attack,1,0.0,0.99568,0.885
sensor_attack,1,0.0,0.996,0.88
sensor_attack,1,0.0,0.99608,0.875
sensor_attack,1,0.0,0.99672,0.865
sensor_attack,1,0.0,0.9972,0.845
sensor_attack,1,0.0,0.99728,0.84
sensor_attack,1,0.0,0.99744,0.835
sensor_attack,1,8e-05,0.99776,0.83
sensor_attack,1,8e-05,0.99792,0.825
sensor_attack,1,8e-05,0.99808,0.81
sensor_attack,1,8e-05,0.9984,0.8
sensor_attack,1,8e-05,0.99872,0.77
sensor_attack,1,8e-05,0.99888,0.765
sensor_attack,1,8e-05,0.99928,0.72
sensor_attack,1,0.00016,0.99928,0.675
sensor_attack,1,0.00016,0.99936,0.67
sensor_attack,1,0.00016,0.99952,0.65
sensor_attack,1,0.00016,0.9996,0.64
sensor_attack,1,0.00024,0.9996,0.63
sensor_attack,1,0.00032,0.99968,0.625
sensor_attack,1,0.00032,0.99976,0.615
sensor_attack,1,0.00064,0.99976,0.545
sensor_attack,1,0.00064,0.99992,0.5
sensor_attack,1,0.00072,0.99992,0.46
sensor_attack,1,0.00072,1.0,0.45
sensor_attack,1,0.0012,1.0,0.265
sensor_attack,1,0.00136,1.0,0.25
sensor_attack,1,0.00144,1.0,0.245
sensor_attack,1,0.0016,1.0,0.24
sensor_attack,1,0.002,1.0,0.21
sensor_attack,1,0.00216,1.0,0.205
sensor_attack,1,0.0024,1.0,0.16
sensor_attack,1,0.00256,1.0,0.155
sensor_attack,1,0.00272,1.0,0.145
sensor_attack,1,0.00296,1.0,0.14
sensor_attack,1,0.00328,1.0,0.135
sensor_attack,1,0.00336,1.0,0.12
sensor_attack,1,0.00368,1.0,0.11
sensor_attack,1,0.00432,1.0,0.105
sensor_attack,1,0.00448,1.0,0.1
sensor_attack,1,0.0052,1.0,0.095
sensor_attack,1,0.00552,1.0,0.085
sensor_attack,1,0.00616,1.0,0.08
sensor_attack,1,0.00688,1.0,0.075
sensor_attack,1,0.00696,1.0,0.07
sensor_attack,1,0.00784,1.0,0.065
sensor_attack,1,0.00904,1.0,0.06
sensor_attack,1,0.01032,1.0,0.055
sensor_attack,1,0.01136,1.0,0.05
sensor_attack,1,0.01304,1.0,0.045
sensor_attack,1,0.01456,1.0,0.04
sensor_attack,1,0.01616,1.0,0.035
sensor_attack,1,0.01928,1.0,0.03
sensor_attack,1,0.02448,1.0,0.025
sensor_attack,1,0.03232,1.0,0.02
sensor_attack,1,0.04648,1.0,0.015
sensor_attack,1,0.07816,1.0,0.01
sensor_attack,1,0.1656,1.0,0.005
sensor_attack,1,1.0,1.0,0.0
